0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:49 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:49 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:51 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:51 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:51 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:51 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:51 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:51 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:52 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:53 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:39 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:58 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:58 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:58 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:58 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:58 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:30:58 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:00 -0700] "PUT /MVCProject/rest/user/1/todo/1 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:11 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:11 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:11 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:11 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:11 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:11 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:13 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:13 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:13 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:13 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:13 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:13 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:20 -0700] "PUT /MVCProject/rest/user/1/todo/1 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:20 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:23 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:23 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:23 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:23 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:23 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:23 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:25 -0700] "PUT /MVCProject/rest/user/1/todo/2 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:25 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:40 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:40 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:40 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:40 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:40 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:41 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:42 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
